split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,20257,18351532.000000,149.000000,79.000000,324642.000000,0.220478,30.623137
training,20258,17655692.000000,160.000000,78.000000,359060.000000,0.243852,30.696545
training,20259,17177784.000000,154.000000,77.000000,340269.000000,0.231091,26.788671
training,20260,19421036.000000,168.000000,79.000000,310641.000000,0.210969,32.999329
training,20261,18210504.000000,147.000000,79.000000,318996.000000,0.216643,27.352448
training,20262,18048128.000000,159.000000,80.000000,353274.000000,0.239923,31.854912
training,20263,17875404.000000,219.000000,74.000000,399085.000000,0.271035,47.510433
training,20264,19119664.000000,236.000000,77.000000,382939.000000,0.260069,48.888927
training,20265,18436486.000000,149.000000,82.000000,354862.000000,0.241001,29.434336
training,20266,19927636.000000,185.000000,85.000000,363100.000000,0.246596,47.209122
training,20267,18944852.000000,227.000000,77.000000,377053.000000,0.256072,49.500031
training,20268,18946480.000000,169.000000,80.000000,320670.000000,0.217780,35.970818
training,20269,18282788.000000,171.000000,71.000000,283204.000000,0.192335,31.053984
training,20270,17463724.000000,165.000000,74.000000,322364.000000,0.218930,36.880127
training,20271,17975820.000000,151.000000,80.000000,389182.000000,0.264309,30.298496
training,20272,23457428.000000,179.000000,89.000000,236894.000000,0.160884,45.255585
training,20273,19999720.000000,161.000000,81.000000,291430.000000,0.197922,35.790592
training,20274,19532734.000000,169.000000,78.000000,274326.000000,0.186306,25.601761
training,20275,21184072.000000,162.000000,86.000000,251721.000000,0.170954,28.843008
training,20276,21139516.000000,170.000000,91.000000,239727.000000,0.162808,33.757793
training,20277,21843028.000000,163.000000,90.000000,324678.000000,0.220502,40.906078
training,20278,22600032.000000,156.000000,92.000000,237237.000000,0.161117,40.962975
training,20279,18045840.000000,161.000000,72.000000,282947.000000,0.192161,30.040512
training,20280,22808494.000000,182.000000,87.000000,228625.000000,0.155269,34.695072
training,20281,18378872.000000,204.000000,79.000000,385518.000000,0.261821,40.725056
training,20282,16838458.000000,198.000000,76.000000,367136.000000,0.249337,35.157726
training,20283,18590168.000000,213.000000,76.000000,374404.000000,0.254273,36.093727
training,20284,16920904.000000,140.000000,78.000000,378669.000000,0.257170,30.965984
training,20285,19390344.000000,197.000000,76.000000,269104.000000,0.182759,35.415199
training,20286,18289372.000000,152.000000,80.000000,320365.000000,0.217573,31.608255
training,20287,18303804.000000,214.000000,76.000000,380305.000000,0.258281,51.001438
training,20288,18026034.000000,190.000000,75.000000,382384.000000,0.259693,36.504639
training,20289,18972752.000000,191.000000,82.000000,311494.000000,0.211548,40.568993
training,20290,17306156.000000,181.000000,78.000000,353222.000000,0.239887,37.374081
training,20291,18731982.000000,165.000000,80.000000,336165.000000,0.228303,25.815008
training,20292,22578520.000000,161.000000,91.000000,231375.000000,0.157136,37.797729
training,20293,22754732.000000,177.000000,89.000000,272548.000000,0.185098,41.863071
training,20294,19676366.000000,192.000000,82.031250,331290.000000,0.224993,33.966976
training,20295,20011732.000000,193.000000,84.000000,307043.000000,0.208525,39.087330
training,20296,23371072.000000,158.000000,91.000000,236855.000000,0.160858,32.409279
training,20297,17565404.000000,187.000000,74.000000,391149.000000,0.265645,42.264446
training,20298,17873966.000000,147.000000,80.000000,328821.000000,0.223316,33.556641
training,20299,20363680.000000,179.000000,81.000000,251415.000000,0.170746,41.549793
training,20300,18528824.000000,155.000000,79.000000,337894.000000,0.229478,31.164673
training,20301,18186036.000000,171.000000,79.000000,353087.000000,0.239796,28.295456
training,20302,17953180.000000,153.000000,81.000000,337687.000000,0.229337,32.739040
training,20303,17991192.000000,159.000000,79.000000,342759.000000,0.232782,25.724768
training,20304,20024646.000000,152.000000,79.000000,262789.000000,0.178471,29.196575
training,20305,23249924.000000,183.000000,89.000000,232521.000000,0.157914,43.355934
training,20306,21421528.000000,163.000000,85.000000,248600.000000,0.168834,32.706017
training,20307,17794080.000000,167.000000,75.000000,386803.000000,0.262694,36.111198
training,20308,19233294.000000,154.000000,81.000000,340672.000000,0.231364,28.209248
training,20309,18112556.000000,155.000000,77.000000,335678.000000,0.227973,32.284447
training,20310,19464772.000000,147.000000,81.000000,321656.000000,0.218450,28.405855
training,20311,22733300.000000,210.000000,90.000000,290670.000000,0.197406,50.067360
training,20312,21337280.000000,195.000000,88.000000,325208.000000,0.220862,48.566753
training,20313,18819660.000000,158.000000,81.000000,318488.000000,0.216298,30.426817
training,20314,23269298.000000,156.000000,93.000000,234735.000000,0.159418,34.904510
training,20315,18515868.000000,208.000000,79.000000,394611.000000,0.267996,38.181728
training,20316,18402498.000000,180.000000,79.000000,343314.000000,0.233158,36.699390
training,20317,20050076.000000,171.000000,80.000000,257919.000000,0.175163,29.211937
training,20318,20054160.000000,188.000000,83.000000,315465.000000,0.214245,29.343040
training,20319,19558712.000000,149.000000,81.000000,341393.000000,0.231854,28.838337
training,20320,23497132.000000,161.000000,92.000000,231917.000000,0.157504,40.624577
training,20321,19924228.000000,197.000000,84.000000,267446.000000,0.181633,41.211807
training,20322,18827434.000000,162.000000,73.000000,288168.000000,0.195707,29.846176
training,20323,18165544.000000,160.000000,80.000000,358693.000000,0.243603,30.257313
training,20324,19032876.000000,170.000000,75.000000,294660.000000,0.200116,32.715874
training,20325,21453324.000000,182.000000,86.000000,276366.000000,0.187691,46.011967
training,20326,21503440.000000,172.000000,85.000000,252948.000000,0.171787,32.741920
training,20327,19701424.000000,215.000000,80.000000,298365.000000,0.202632,42.100098
training,20328,22550204.000000,221.000000,87.000000,257663.000000,0.174989,46.681568
training,20329,19690036.000000,171.000000,85.000000,379721.000000,0.257884,39.573055
training,20330,22483632.000000,169.000000,88.000000,265178.000000,0.180093,35.836609
training,20331,18172094.000000,178.000000,79.000000,351658.000000,0.238825,32.469826
training,20332,17895318.000000,182.000000,80.000000,387270.000000,0.263011,34.824257
training,20333,20285300.000000,174.000000,83.000000,260292.000000,0.176775,35.609730
training,20334,19861900.000000,177.000000,84.000000,312288.000000,0.212087,31.022783
training,20335,17196836.000000,156.000000,79.000000,387786.000000,0.263361,36.585503
training,20336,19420104.000000,159.000000,76.000000,290901.000000,0.197563,32.071201
training,20337,17633076.000000,180.000000,77.000000,356290.000000,0.241971,37.986496
training,20338,21397736.000000,148.000000,89.000000,331160.000000,0.224904,38.204288
training,20339,18760312.000000,169.000000,78.000000,343460.000000,0.233258,42.408066
training,20340,17532124.000000,163.000000,77.000000,360145.000000,0.244589,28.696129
training,20341,18200760.000000,143.000000,72.000000,287950.000000,0.195559,31.371840
training,20342,18311544.000000,152.000000,81.000000,313757.000000,0.213085,35.601982
training,20343,20712604.000000,152.000000,89.000000,322897.000000,0.219292,33.260929
training,20344,18301644.000000,195.000000,81.000000,385513.000000,0.261818,30.869024
training,20345,19141444.000000,171.000000,81.000000,310290.000000,0.210731,31.591616
training,20346,21204520.000000,225.000000,83.000000,277012.000000,0.188130,49.931137
training,20347,20314504.000000,148.000000,88.000000,331891.000000,0.225401,35.268833
training,20348,18735932.000000,175.000000,78.000000,346630.000000,0.235411,36.768478
training,20349,22186496.000000,191.000000,90.000000,324682.000000,0.220505,50.815006
training,20350,18772362.000000,165.000000,75.000000,300532.000000,0.204103,31.821983
training,20351,18632084.000000,172.000000,76.000000,345962.000000,0.234957,43.306080
training,20352,18996304.000000,149.000000,81.000000,341707.000000,0.232067,26.220097
training,20353,17905344.000000,221.000000,75.000000,397337.000000,0.269848,47.052929
training,20354,19841960.000000,185.000000,81.000000,309060.000000,0.209895,36.102177
training,20355,19327404.000000,179.000000,79.000000,355118.000000,0.241175,41.318977
training,20356,19845764.000000,172.000000,85.000000,324225.000000,0.220194,41.910175
training,20357,18799324.000000,166.000000,83.000000,336749.000000,0.228700,36.331711
training,20358,18640452.000000,223.000000,80.000000,386273.000000,0.262334,40.454655
training,20359,22382876.000000,164.000000,90.000000,245862.000000,0.166975,29.993824
training,20360,20389264.000000,145.000000,83.000000,332716.000000,0.225961,37.413311
